mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
29	29	113	113	2.0	1/4	1/4	4/4	2	1	I		E	bIII		I	I							M	0	0	0, 4, 1		0	0
29	29	115	115	1.0	3/4	3/4	4/4	2	1	iv.V		E	iv		V	V							M	0	1	1, 5, 2		1	1
30	30	116	116	3.0	0	0	4/4	2	1	viio43/V		E	iv		viio43/V	vii	o	43		V			o7	0	1	0, -3, 6, 3		6	0
30	30	119	119	1.0	3/4	3/4	4/4	2	1	V		E	iv		V	V							M	0	1	1, 5, 2		1	1
31	31	120	120	3.0	0	0	4/4	2	1	viio43/V		E	iv		viio43/V	vii	o	43		V			o7	0	1	0, -3, 6, 3		6	0
31	31	123	123	1.0	3/4	3/4	4/4	2	1	V		E	iv		V	V							M	0	1	1, 5, 2		1	1
32	32	124	124	2.0	0	0	4/4	2	1	i}{		E	iv		i	i						}{	m	0	1	0, -3, 1		0	0
32	32	126	126	1.0	1/2	1/2	4/4	2	1	bIII.V7		E	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
32	32	127	127	0.5	3/4	3/4	4/4	2	1	I		E	bIII		I	I							M	0	0	0, 4, 1		0	0
32	32	255/2	255/2	0.5	7/8	7/8	4/4	2	1	I6		E	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
33	33	128	128	0.5	0	0	4/4	2	1	IV		E	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
33	33	257/2	257/2	0.5	1/8	1/8	4/4	2	1	IV6		E	bIII		IV6	IV		6					M	0	0	3, 0, -1		-1	3
33	33	129	129	2.0	1/4	1/4	4/4	2	1	I		E	bIII		I	I							M	0	0	0, 4, 1		0	0
33	33	131	131	1.0	3/4	3/4	4/4	2	1	v.ii%43		E	v		ii%43	ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
34	34	132	132	3.0	0	0	4/4	2	1	V(64)		E	v		V(64)	V			64				M	0	1	1, 0, -3		1	1
34	34	135	135	1.0	3/4	3/4	4/4	2	1	ii%43		E	v		ii%43	ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
35	35	136	136	3.0	0	0	4/4	2	1	V(64)		E	v		V(64)	V			64				M	0	1	1, 0, -3		1	1
35	35	139	139	1.0	3/4	3/4	4/4	2	1	ii%43	vii%7/III	E	v		ii%43	ii	%	43					%7	0	1	-4, 0, 2, -1		2	-4
36	36	140	140	2.0	0	0	4/4	2	1	III/v.V(64)		E	III/v		V(64)	V			64				M	0	0	1, 0, 4		1	1
36	36	142	142	1.0	1/2	1/2	4/4	2	1	#viio43/ii	V(6#4#2)	E	III/v		#viio43/ii	#vii	o	43		ii			o7	0	0	1, -2, 7, 4		7	1
36	36	143	143	1.0	3/4	3/4	4/4	2	1	V43		E	III/v		V43	V		43					Mm7	0	0	2, -1, 1, 5		1	2
37	37	144	144	4.0	0	0	4/4	2	1	I|IAC}		E	III/v		I	I					IAC	}	M	0	0	0, 4, 1		0	0
38	38	148	148	2.0	0	0	4/4	2	1	bIII.ii{		E	bIII		ii	ii						{	m	0	0	2, -1, 3		2	2
38	38	150	150	1.0	1/2	1/2	4/4	2	1	V7		E	bIII		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
38	38	151	151	0.5	3/4	3/4	4/4	2	1	I		E	bIII		I	I							M	0	0	0, 4, 1		0	0
38	38	303/2	303/2	0.5	7/8	7/8	4/4	2	1	I6		E	bIII		I6	I		6					M	0	0	4, 1, 0		0	4
39	39	152	152	0.5	0	0	4/4	2	1	IV		E	bIII		IV	IV							M	0	0	-1, 3, 0		-1	-1
